# Made with SNEMO_FIT v0.1-dev
SUBSURVEY,SNID,IAUC,FAKE,MASK_FLUXCOR_SNANA,RA,DEC,PIXSIZE,NXPIX,NYPIX,SNTYPE,NOBS,PTROBS_MIN,PTROBS_MAX,MWEBV,MWEBV_ERR,REDSHIFT_HELIO,REDSHIFT_HELIO_ERR,REDSHIFT_FINAL,REDSHIFT_FINAL_ERR,VPEC,VPEC_ERR,HOSTGAL_NMATCH,HOSTGAL_NMATCH2,HOSTGAL_OBJID,HOSTGAL_FLAG,HOSTGAL_PHOTOZ,HOSTGAL_PHOTOZ_ERR,HOSTGAL_SPECZ,HOSTGAL_SPECZ_ERR,HOSTGAL_RA,HOSTGAL_DEC,HOSTGAL_SNSEP,HOSTGAL_DDLR,HOSTGAL_CONFUSION,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOSTGAL_sSFR,HOSTGAL_sSFR_ERR,HOSTGAL_ELLIPTICITY,HOSTGAL_OBJID2,HOSTGAL_SQRADIUS,HOSTGAL_MAG_u,HOSTGAL_MAG_g,HOSTGAL_MAG_r,HOSTGAL_MAG_i,HOSTGAL_MAG_z,HOSTGAL_MAG_Y,HOSTGAL_MAGERR_u,HOSTGAL_MAGERR_g,HOSTGAL_MAGERR_r,HOSTGAL_MAGERR_i,HOSTGAL_MAGERR_z,HOSTGAL_MAGERR_Y,HOSTGAL2_OBJID,HOSTGAL2_FLAG,HOSTGAL2_PHOTOZ,HOSTGAL2_PHOTOZ_ERR,HOSTGAL2_SPECZ,HOSTGAL2_SPECZ_ERR,HOSTGAL2_RA,HOSTGAL2_DEC,HOSTGAL2_SNSEP,HOSTGAL2_DDLR,HOSTGAL2_LOGMASS,HOSTGAL2_LOGMASS_ERR,HOSTGAL2_sSFR,HOSTGAL2_sSFR_ERR,HOSTGAL2_ELLIPTICITY,HOSTGAL2_OBJID2,HOSTGAL2_SQRADIUS,HOSTGAL2_MAG_u,HOSTGAL2_MAG_g,HOSTGAL2_MAG_r,HOSTGAL2_MAG_i,HOSTGAL2_MAG_z,HOSTGAL2_MAG_Y,HOSTGAL2_MAGERR_u,HOSTGAL2_MAGERR_g,HOSTGAL2_MAGERR_r,HOSTGAL2_MAGERR_i,HOSTGAL2_MAGERR_z,HOSTGAL2_MAGERR_Y,HOSTGAL_SB_FLUXCAL_u,HOSTGAL_SB_FLUXCAL_g,HOSTGAL_SB_FLUXCAL_r,HOSTGAL_SB_FLUXCAL_i,HOSTGAL_SB_FLUXCAL_z,HOSTGAL_SB_FLUXCAL_Y,PEAKMJD,SEARCH_TYPE,PRIVATE(SIM_PEAKMJD),PRIVATE(SIM_SALT2x0),PRIVATE(SIM_SALT2mB),PRIVATE(SIM_SALT2x1),PRIVATE(SIM_HOSTLESS),PRIVATE(SIM_NOBS),PRIVATE(SIM_TRESTMIN):-19.438,PRIVATE(SIM_TRESTMAX),SNEMO2_z,SNEMO2_t0,SNEMO2_c0,SNEMO2_As,SNEMO2_c1,SNEMO2_z_ERR,SNEMO2_t0_ERR,SNEMO2_c0_ERR,SNEMO2_As_ERR,SNEMO2_c1_ERR,SNEMO2_ACCEPT_FRAC
                                        ,MS_9044_1096,UNKNOWN         ,1,0,56.3328,-29.9334,0.199598,4072,4000,0,46,1,46,0.0115902,0.00193169,0.587702,0.0001,0.5872,0.0001,0,0,0,0,12345,0,-9,-9,-9,-9,-999,-999,-9,-9,-99,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,0,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,4.268,8.095,20.17,35.28,36.21,40.85,60932.3,-9,60924.2,8.1973E-06,23.3458,1.1884,0,48,0,48.4258,0.586974,60923.9,9.44516E-19,-0.208241,0.141929,0.00111247,0.880871,6.79401E-19,0.634841,0.970247,0.391
                                        ,MS_9044_1118,UNKNOWN         ,1,0,56.3186,-29.8141,0.199598,4072,4000,0,50,48,97,0.0129456,0.0021576,0.588804,0.0001,0.5883,0.0001,0,0,0,0,12345,0,-9,-9,-9,-9,-999,-999,-9,-9,-99,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,0,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,7.626,13.57,39.45,81.06,104.6,111.5,60604.3,-9,60604,5.805E-06,23.7205,-1.3046,0,51,0,42.2251,0.588295,60604.7,5.4974E-19,-0.131298,1.57772,0.00115053,0.998138,2.30444E-19,0.341654,0.644494,0.3467
                                        ,MS_9044_1304,UNKNOWN         ,1,0,56.1479,-29.7802,0.199598,4072,4000,0,25,99,123,0.010625,0.00177083,0.634424,0.0001,0.6339,0.0001,0,0,0,0,12345,0,-9,-9,-9,-9,-999,-999,-9,-9,-99,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,0,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,6.159,7.435,15.62,28.48,34.06,30.15,60651.1,-9,60643.7,5.4834E-06,23.7824,1.3877,0,25,0,41.2692,0.634,60630.6,1.78471E-17,2.92872,-10.1006,0.000980849,14.9273,1.77849E-17,1.142,20.1742,0.2638
                                        ,MS_9044_1669,UNKNOWN         ,1,0,56.2628,-29.9128,0.199598,4072,4000,0,69,125,193,0.0112364,0.00187273,0.696739,0.0001,0.6962,0.0001,0,0,0,0,12345,0,-9,-9,-9,-9,-999,-999,-9,-9,-99,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,0,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,0.5462,4.599,18.92,57.31,84.1,104.3,60568.3,-9,60567.3,6.1206E-06,23.663,0.7643,0,70,0,49.3524,0.696158,60568.5,5.0852E-19,-0.489792,-0.201465,0.00114338,1.20761,3.48518E-19,0.600678,0.908776,0.3197
                                        ,MS_9044_1900,UNKNOWN         ,1,0,56.3437,-29.8957,0.199598,4072,4000,0,20,195,214,0.0119248,0.00198746,0.736249,0.0001,0.7357,0.0001,0,0,0,0,12345,0,-9,-9,-9,-9,-999,-999,-9,-9,-99,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,0,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,0.3083,0.1381,0.3099,0.02495,2.687,5.293,60278.2,-9,60280.1,4.625E-06,23.9672,0.8405,0,21,0,47.2448,0.735564,60265,2.8244E-18,0.789049,-15.0438,0.000943318,25.239,2.90648E-18,1.32422,23.6023,0.1989
                                        ,MS_9044_1974,UNKNOWN         ,1,0,56.3605,-29.8895,0.199598,4072,4000,0,17,216,232,0.01214,0.00202334,0.742951,0.0001,0.7424,0.0001,0,0,0,0,12345,0,-9,-9,-9,-9,-999,-999,-9,-9,-99,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,0,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,12.44,15.29,25.77,57.87,64.86,68.01,61393.2,-9,61403.3,3.7676E-06,24.1898,1.5335,0,17,0,0.4827,0.742402,61399,1.04633E-18,1.05381,18.5115,0.0011834,6.74257,1.10198E-18,0.899956,30.9923,0.2376
                                        ,MS_9044_24,UNKNOWN         ,1,0,56.2807,-29.82,0.199598,4072,4000,0,26,234,259,0.0123301,0.00205501,0.160069,0.0001,0.1597,0.0001,0,0,0,0,12345,0,-9,-9,-9,-9,-999,-999,-9,-9,-99,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,0,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,21.63,62.34,116.5,151.4,193.6,213.1,61009.2,-9,61005.2,0.00010891,20.5374,-0.7762,0,28,0,46.4171,0.159529,61005,1.76326E-17,0.436591,1.12951,0.000791583,0.187363,2.18041E-18,0.143362,0.161495,0.5216
                                        ,MS_9044_2899,UNKNOWN         ,1,0,56.3449,-29.8221,0.199598,4072,4000,0,3,261,263,0.0133205,0.00222009,0.856088,0.0001,0.8555,0.0001,0,0,0,0,12345,0,-9,-9,-9,-9,-999,-999,-9,-9,-99,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,0,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,5.979,8.717,18.23,53.77,77.23,78.55,0.01,-9,60774.5,2.0917E-06,24.8288,0.8731,0,3,0,46.4171,0.410688,60213.6,2.05744E-18,0.238676,2.88762,0.00100959,0.355844,6.43231E-19,0.253342,0.383674,0.4802
                                        ,MS_9044_370,UNKNOWN         ,1,0,56.3115,-29.8195,0.199598,4072,4000,0,51,265,315,0.0127979,0.00213299,0.411648,0.0001,0.4112,0.0001,0,0,0,0,12345,0,-9,-9,-9,-9,-999,-999,-9,-9,-99,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,0,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,2.542,19.8,83.67,156.2,210.6,252.1,60211.2,-9,60213.4,1.5893E-05,22.627,-1.6204,0,51,0,46.5074,0.416383,60904.9,1.336E-18,-0.493228,-0.203685,0.0010374,0.515079,1.75817E-19,0.121072,0.43667,0.4982
                                        ,MS_9044_388,UNKNOWN         ,1,0,56.288,-29.8699,0.199598,4072,4000,0,35,317,351,0.011711,0.00195184,0.41675,0.0001,0.4163,0.0001,0,0,0,0,12345,0,-9,-9,-9,-9,-999,-999,-9,-9,-99,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,0,0,-9,-9,-9,-9,-999,-999,-9,-9,-9,-9,-99,-99,0,0,0,999,999,999,999,999,999,999,999,999,999,999,999,13.99,34.54,122.8,207.1,270.3,282.2,60904.4,-9,60904.6,2.1676E-05,22.2901,0.5709,0,37,0,48.4083,0.198116,60666.2,9.56458E-18,0.161652,-2.16458,0.000971881,0.1959,1.82916E-18,0.260209,0.361072,0.4557
